generation,p50_total_ms,best_ms,storage_mb,n_indexes,failed_ddl_count,rejected_count,regressed_queries,tokens_prompt,tokens_completion,wall_s
0,64022.342,64022.342,0.0,0,0,0,0,0,0,0.0
1,3979.792,3979.792,24.156,13,0,0,8,1805,462,104.4
2,3235.016,3979.792,45.641,16,0,0,8,1965,612,19.4
3,3762.301,3979.792,31.852,12,0,0,8,2534,385,30.2
4,3579.786,3979.792,25.602,9,0,0,8,2400,277,30.1
5,3777.807,3777.807,22.742,10,0,0,6,2302,308,25.9
6,3661.662,3777.807,30.305,8,0,0,6,2113,300,24.3
7,3728.0,3777.807,30.555,9,0,0,6,2414,291,27.6
8,3240.616,3777.807,146.32,26,0,0,6,2449,1200,29.7
9,3495.106,3777.807,46.867,10,0,0,6,3228,421,37.2
10,3634.526,3777.807,67.867,18,0,0,6,2518,661,30.1
